iso3,year,education,energy,health,housing_living,research_innovation,security_stability,composite
POL,2002,2.129085656747878,1.6075267926863475,2.770972752241394,1.7063851660307636,0.856791680509996,0.5470464652350454,1.6029680855752375
POL,2003,2.1070236899176433,1.6378962440776463,2.8125995469474367,1.7113121056621712,0.8729164808846581,0.5587888312656241,1.61675614979253
POL,2004,2.1701025084638728,1.6661500600807415,2.7737770788193026,1.7149694476018802,0.9452004047587416,0.5705311972962028,1.6401217828367904
POL,2005,2.244816773208143,1.6825347982370944,2.7627502258458807,1.6989815155823724,0.943096337036942,0.5822735633267815,1.652408868872869
POL,2006,2.2577783243854816,1.7258638738040706,2.8234010126574565,1.7159625045321842,0.9869234379317575,0.5822735633267815,1.6820337861062888
POL,2007,2.260657490880666,1.757744536818276,2.8518811509194943,1.7341302091661461,1.0220976075666202,0.5822735633267815,1.7014640931129972
POL,2008,2.3558366209158743,1.77054984624702,3.0183702287794,1.7523442021784867,1.1177291226037747,0.6175006614185174,1.7720551136905123
POL,2009,2.3830882303896233,1.7564747591684435,3.109329833725675,1.7694704194020914,1.2496583675332293,0.6063675629056665,1.812398195520788
POL,2010,2.5035679487768103,1.7814472578739744,3.097562692844504,1.7678433006077954,1.3923508613682598,0.607087178235948,1.8583098732845487
POL,2011,2.4015950794785783,1.796222460125743,3.1227645920674023,1.7662082206022904,1.4490729769230453,0.6003906903470145,1.8560423365906786
POL,2012,2.380960574825173,1.7956392370148306,3.1387691078163704,1.764528426240699,1.6824069737289855,0.6028287798644759,1.8941888499150892
POL,2013,2.3550101262465004,1.7938531107930071,3.218836148173076,1.7617014127098964,1.7421392207639952,0.6217209506373653,1.915543494887307
POL,2014,2.2848793142477106,1.8138954857859122,3.2301527087121977,1.7588624247101423,1.886149972456082,0.6249948846668497,1.9331557984298156
POL,2015,2.342794429083444,1.8391670234342683,3.2181033941011568,1.7029789700301623,2.0477047312303682,0.6230010146556253,1.9622915937558376
POL,2016,2.3574580562898633,1.8750436049587536,3.2915439603903724,1.6471556268808747,2.046749968136503,0.6298908159051588,1.9746403387602542
POL,2017,2.5023153415727974,1.9113892006785835,3.251815766651887,1.6387090314531196,2.3287515531931695,0.6249810640864891,2.0429936596060077
POL,2018,2.1849448437367363,1.8805427854222314,3.173257685444371,1.6250865027863346,2.536348244584947,0.6275035592521837,2.004613936871134
POL,2019,2.2074352839873823,1.8985294717382202,3.451678903300837,1.6128810096281716,2.6438834515288416,0.6311158982093507,2.0742540030654673
POL,2020,2.2342891029598833,1.8815647285231167,3.3523707646256367,1.6007253251277174,2.7645463283245504,0.6286856389572875,2.0770303147530322
